"","Class","Technology","Year","Net Capacity Factor (%)","Annual Generation (MWh)","CAPEX ($/kW)","Construction Finance Costs ($/kW)","Overnight Capital Costs ($/kW)","Fixed Operations and Maintenance ($/kW-yr)","Grid Connection Costs ($/kW)","LCOE ($/MWh)"
"66","5","Moderate","2022","26"," 2300 ","1483","51","1367 ","24 ","65","47"
"67","5","Moderate","2023","26"," 2315 ","1611","56","1435 ","22 ","120","49"
"68","5","Moderate","2024","27"," 2329 ","1551","54","1379 ","22 ","119","47"
"69","5","Moderate","2025","27"," 2344 ","1492","52","1323 ","21 ","117","45"
"70","5","Moderate","2026","27"," 2358 ","1432","50","1267 ","20 ","115","43"
"71","5","Conservative","2022","26"," 2286 ","1483","51","1367 ","24 ","65","47"
"72","5","Conservative","2023","26"," 2286 ","1611","56","1435 ","22 ","120","50"
"73","5","Conservative","2024","26"," 2286 ","1576","55","1398 ","22 ","123","49"
"74","5","Conservative","2025","26"," 2286 ","1541","53","1362 ","22 ","125","48"
"75","5","Conservative","2026","26"," 2286 ","1505","52","1326 ","21 ","128","47"
"76","6","Advanced","2022","25"," 2191 ","1483","51","1367 ","24 ","65","49"
"77","6","Advanced","2023","25"," 2216 ","1611","56","1435 ","22 ","120","51"
"78","6","Advanced","2024","26"," 2240 ","1534","53","1366 ","21 ","115","48"
"79","6","Advanced","2025","26"," 2265 ","1456","50","1297 ","21 ","109","46"
"80","6","Advanced","2026","26"," 2289 ","1379","48","1228 ","20 ","103","43"
"81","6","Moderate","2022","25"," 2181 ","1483","51","1367 ","24 ","65","49"
"82","6","Moderate","2023","25"," 2195 ","1611","56","1435 ","22 ","120","52"
"83","6","Moderate","2024","25"," 2209 ","1551","54","1379 ","22 ","119","50"
"84","6","Moderate","2025","25"," 2223 ","1492","52","1323 ","21 ","117","47"
"85","6","Moderate","2026","26"," 2237 ","1432","50","1267 ","20 ","115","45"
"86","6","Conservative","2022","25"," 2167 ","1483","51","1367 ","24 ","65","50"
"87","6","Conservative","2023","25"," 2167 ","1611","56","1435 ","22 ","120","52"
"88","6","Conservative","2024","25"," 2167 ","1576","55","1398 ","22 ","123","51"
"89","6","Conservative","2025","25"," 2167 ","1541","53","1362 ","22 ","125","50"
"90","6","Conservative","2026","25"," 2167 ","1505","52","1326 ","21 ","128","49"
"91","7","Advanced","2022","24"," 2079 ","1483","51","1367 ","24 ","65","52"
"92","7","Advanced","2023","24"," 2103 ","1611","56","1435 ","22 ","120","54"
"93","7","Advanced","2024","24"," 2126 ","1534","53","1366 ","21 ","115","51"
"94","7","Advanced","2025","25"," 2150 ","1456","50","1297 ","21 ","109","48"
"95","7","Advanced","2026","25"," 2174 ","1379","48","1228 ","20 ","103","45"
"96","7","Moderate","2022","24"," 2069 ","1483","51","1367 ","24 ","65","52"
"97","7","Moderate","2023","24"," 2083 ","1611","56","1435 ","22 ","120","54"
"98","7","Moderate","2024","24"," 2096 ","1551","54","1379 ","22 ","119","52"
"99","7","Moderate","2025","24"," 2110 ","1492","52","1323 ","21 ","117","50"
"100","7","Moderate","2026","24"," 2124 ","1432","50","1267 ","20 ","115","48"
"101","7","Conservative","2022","23"," 2055 ","1483","51","1367 ","24 ","65","52"
"102","7","Conservative","2023","23"," 2055 ","1611","56","1435 ","22 ","120","55"
"103","7","Conservative","2024","23"," 2055 ","1576","55","1398 ","22 ","123","54"
"104","7","Conservative","2025","23"," 2055 ","1541","53","1362 ","22 ","125","53"
"105","7","Conservative","2026","23"," 2055 ","1505","52","1326 ","21 ","128","52"
"106","8","Advanced","2022","23"," 1999 ","1483","51","1367 ","24 ","65","54"
"107","8","Advanced","2023","23"," 2022 ","1611","56","1435 ","22 ","120","56"
"108","8","Advanced","2024","23"," 2044 ","1534","53","1366 ","21 ","115","53"
"109","8","Advanced","2025","24"," 2067 ","1456","50","1297 ","21 ","109","50"
"110","8","Advanced","2026","24"," 2090 ","1379","48","1228 ","20 ","103","47"
"111","8","Moderate","2022","23"," 1989 ","1483","51","1367 ","24 ","65","54"
"112","8","Moderate","2023","23"," 2003 ","1611","56","1435 ","22 ","120","57"
"113","8","Moderate","2024","23"," 2016 ","1551","54","1379 ","22 ","119","54"
"114","8","Moderate","2025","23"," 2029 ","1492","52","1323 ","21 ","117","52"
"115","8","Moderate","2026","23"," 2042 ","1432","50","1267 ","20 ","115","50"
"116","8","Conservative","2022","23"," 1976 ","1483","51","1367 ","24 ","65","55"
"117","8","Conservative","2023","23"," 1976 ","1611","56","1435 ","22 ","120","57"
"118","8","Conservative","2024","23"," 1976 ","1576","55","1398 ","22 ","123","56"
"119","8","Conservative","2025","23"," 1976 ","1541","53","1362 ","22 ","125","55"
"120","8","Conservative","2026","23"," 1976 ","1505","52","1326 ","21 ","128","54"
"121","9","Advanced","2022","22"," 1902 ","1483","51","1367 ","24 ","65","57"
"122","9","Advanced","2023","22"," 1924 ","1611","56","1435 ","22 ","120","59"
"123","9","Advanced","2024","22"," 1946 ","1534","53","1366 ","21 ","115","56"
"124","9","Advanced","2025","22"," 1968 ","1456","50","1297 ","21 ","109","52"
"125","9","Advanced","2026","23"," 1990 ","1379","48","1228 ","20 ","103","49"
"126","9","Moderate","2022","22"," 1893 ","1483","51","1367 ","24 ","65","57"
"127","9","Moderate","2023","22"," 1906 ","1611","56","1435 ","22 ","120","60"
"128","9","Moderate","2024","22"," 1919 ","1551","54","1379 ","22 ","119","57"
"129","9","Moderate","2025","22"," 1931 ","1492","52","1323 ","21 ","117","55"
"130","9","Moderate","2026","22"," 1944 ","1432","50","1267 ","20 ","115","52"
"131","9","Conservative","2022","21"," 1880 ","1483","51","1367 ","24 ","65","57"
"132","9","Conservative","2023","21"," 1880 ","1611","56","1435 ","22 ","120","60"
"133","9","Conservative","2024","21"," 1880 ","1576","55","1398 ","22 ","123","59"
"134","9","Conservative","2025","21"," 1880 ","1541","53","1362 ","22 ","125","58"
"135","9","Conservative","2026","21"," 1880 ","1505","52","1326 ","21 ","128","57"
"136","10","Advanced","2022","20"," 1745 ","1483","51","1367 ","24 ","65","62"
"137","10","Advanced","2023","20"," 1766 ","1611","56","1435 ","22 ","120","64"
"138","10","Advanced","2024","20"," 1787 ","1534","53","1366 ","21 ","115","61"
"139","10","Advanced","2025","21"," 1807 ","1456","50","1297 ","21 ","109","57"
"140","10","Advanced","2026","21"," 1828 ","1379","48","1228 ","20 ","103","54"
"141","10","Moderate","2022","20"," 1737 ","1483","51","1367 ","24 ","65","62"
"142","10","Moderate","2023","20"," 1749 ","1611","56","1435 ","22 ","120","65"
"143","10","Moderate","2024","20"," 1761 ","1551","54","1379 ","22 ","119","62"
"144","10","Moderate","2025","20"," 1773 ","1492","52","1323 ","21 ","117","60"
"145","10","Moderate","2026","20"," 1785 ","1432","50","1267 ","20 ","115","57"
"146","10","Conservative","2022","20"," 1725 ","1483","51","1367 ","24 ","65","62"
"147","10","Conservative","2023","20"," 1725 ","1611","56","1435 ","22 ","120","66"
"148","10","Conservative","2024","20"," 1725 ","1576","55","1398 ","22 ","123","64"
"149","10","Conservative","2025","20"," 1725 ","1541","53","1362 ","22 ","125","63"
"150","10","Conservative","2026","20"," 1725 ","1505","52","1326 ","21 ","128","62"
